term_status,section,title,instructor,schedule,term
26SOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),William Grover,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,26s
26SOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Andrew Krajewski,Wednesday 7:00pm - 9:45pm GR 3.402B Wednesday 7:00pm - 9:45pm GR 3.402A,26s
26SOpen,EPPS 6323.001,Knowledge Mining  (3 Semester Credit Hours),Karl Ho,Tuesday 4:00pm - 6:45pm FO 1.502,26s
26SOpen,EPPS 6326.501,Machine Learning for Socio-Economic and Geo-Referenced Data  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.206,26s
26SOpen,EPPS 6354.001,Information Management  (3 Semester Credit Hours),Karl Ho,Thursday 4:00pm - 6:45pm GR 3.206,26s
26SOpen,EPPS 7316.001,Regression and Multivariate Analysis  (3 Semester Credit Hours),Patrick Brandt,Tuesday 4:00pm - 6:45pm GR 3.206,26s
26UOpen,EPPS 6317.051,Python Programming for Social Science  - Python Prog for Social Science (3 Semester Credit Hours),Fang Qiu,Tuesday & Thursday 1:00pm - 5:00pm GR 3.402A Tuesday & Thursday 1:00pm - 5:00pm GR 3.402B,26u
26UOpen,EPPS 6v97.001,Internship  (1-6 Credits),Dohyeong Kim,Internship,26u
26UOpen,EPPS 7v81.051,Special Topics in Social Science Research Methodology  - Workshop on AI for Policy (3 Semester Credit Hours),"Dohyeong Kim,May Yuan",Monday & Wednesday 1:00pm - 5:30pm GR 4.301,26u
26FOpen,EPPS 6302.001,Methods of Data Collection and Production  (3 Semester Credit Hours),Karl Ho,Tuesday 4:00pm - 6:45pm GR 3.402A Tuesday 4:00pm - 6:45pm GR 3.402B,26f
26FOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),Timothy Bray,Wednesday 7:00pm - 9:45pm FO 1.502,26f
26FOpen,EPPS 6313.5h1,Introduction to Quantitative Methods  (3 Semester Credit Hours),Eugenia Gorina,(Hybrid) Monday 6:00pm - 8:45pm,26f
26FOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.206,26f
26FOpen,EPPS 6317.501,Python Programming for Social Science  (3 Semester Credit Hours),Bryan Chastain,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,26f
26FOpen,EPPS 6336.001,Fundamentals of Sustainability  (3 Semester Credit Hours),Muhammad Rahman,Tuesday & Thursday 11:30am - 12:45pm CB 1.210,26f
