School,School_Code,Professor_Name,Title,Department,Profile_URL,RMP_URL,Research_Areas,Tags
Erik Jonsson School of Engineering and Computer Science,ECS,Chung Hwan Kim,Assistant Professor,Computer Science,https://profiles.utdallas.edu/chungkim,https://www.ratemyprofessors.com/search/professors/1273?q=Chung%20Hwan%20Kim,,Computer Systems Security | Cyber-Physical Security | Software Security | Cyber Security
Erik Jonsson School of Engineering and Computer Science,ECS,Jin Ryong Kim,Assistant Professor,Computer Science,https://profiles.utdallas.edu/jin.kim,https://www.ratemyprofessors.com/search/professors/1273?q=Jin%20Ryong%20Kim,,
Erik Jonsson School of Engineering and Computer Science,ECS,Jiyoung Kim,Professor,Material Sciences & Engineering,https://profiles.utdallas.edu/jiyoung.kim,https://www.ratemyprofessors.com/search/professors/1273?q=Jiyoung%20Kim,,Electrical Engineering | Mechanical Engineering | Materials Science and Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Moon Kim,Professor,Materials Science & Engineering,https://profiles.utdallas.edu/moonkim,https://www.ratemyprofessors.com/search/professors/1273?q=Moon%20Kim,"Heterogeneous materials integration by wafer bonding | Fabrication and characterization of various functional nanostructures for applications in nano-electronics, power electronics, energy, electrochemical and bio-devices, and neuromorphic and quantum computing | Atomic scale characterization of low dimensional nanomaterials | In-situ TEM study of electrochemical and biological systems | Nanopore-based sequencing of biomolecules | Fabrication of 3D nanostructures for nano-robots | 3D visualization technologies such as virtual reality (VR), image recognition, and hologram for enhanced education",Emerging Media Art | Electrical Engineering | Mechanical Engineering | Materials Science and Engineering | Design & Creative Practice
Erik Jonsson School of Engineering and Computer Science,ECS,Nayeong Kim,Assistant Professor,Materials Science and Engineering,https://profiles.utdallas.edu/nayeong.kim,https://www.ratemyprofessors.com/search/professors/1273?q=Nayeong%20Kim,,Redox Material | Electrochemical separations | Resource recovery | CO2 capture | Critical element recovery | Environmental remediation
Erik Jonsson School of Engineering and Computer Science,ECS,Stephen Kiser,Lecturer I,Executive Education,https://profiles.utdallas.edu/stephen.kiser,https://www.ratemyprofessors.com/search/professors/1273?q=Stephen%20Kiser,,
Erik Jonsson School of Engineering and Computer Science,ECS,Justin Koeln,Assistant Professor,Mechanical Engineering,https://profiles.utdallas.edu/justin.koeln,https://www.ratemyprofessors.com/search/professors/1273?q=Justin%20Koeln,,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Golden Kumar,Associate Professor,Mechanical Engineering,https://profiles.utdallas.edu/golden.kumar,https://www.ratemyprofessors.com/search/professors/1273?q=Golden%20Kumar,,
Erik Jonsson School of Engineering and Computer Science,ECS,Pushpa Kumar,Professor of Instruction,,https://profiles.utdallas.edu/pushpa.kumar,https://www.ratemyprofessors.com/search/professors/1273?q=Pushpa%20Kumar,,Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Gautam Kunapuli,Research Associate Professor,Computer Science,https://profiles.utdallas.edu/gautam.kunapuli,https://www.ratemyprofessors.com/search/professors/1273?q=Gautam%20Kunapuli,,
Erik Jonsson School of Engineering and Computer Science,ECS,Khiem Le,Senior Lecturer I,Computer Science,https://profiles.utdallas.edu/kvl140030,https://www.ratemyprofessors.com/search/professors/1273?q=Khiem%20Le,,
Erik Jonsson School of Engineering and Computer Science,ECS,Gil Sik Lee,Professor,Electrical Engineering,https://profiles.utdallas.edu/gil.lee,https://www.ratemyprofessors.com/search/professors/1273?q=Gil%20Sik%20Lee,"Carbon nanotubes growing by atmospheric PECVD and spinning of CNT. | Lithium ion battery and lithium air battery using CNT sheet. | Transparent touch screen, transparent heater, gas sensors, and strain sensor applications using CNT sheet.",Electrical Engineering | Computer Engineering
